timestamp(ms), plot RED, plot IFR,Count IF, Signal AC IFR Raw,Count RED, Signal AC RED Raw, Signal AC IFR Filt, Signal DC IFR Filt, Signal AC RED Filt, Signal DC RED Filt,
"1728957251.961",,,"0","0",,,,,,,
"1728957251.969",,,"0","0",,,,,,,
"1728957251.977",,,"0","0",,,,,,,
"1728957251.985",,,"0",,,,,,,,
"1728957251.986",,,,"0",,,,,,,
"1728957251.993",,,"0","0",,,,,,,
"1728957252.001",,,"0","0",,,,,,,
"1728957252.01",,,"0","0",,,,,,,
"1728957252.02",,,"0",,,,,,,,
"1728957252.021",,,,"0",,,,,,,
"1728957252.026",,,"0","0",,,,,,,
"1728957252.034",,,"0","0",,,,,,,
"1728957252.041",,,"0","0",,,,,,,
"1728957252.049",,,"0","0",,,,,,,
"1728957252.057",,,"0","0",,,,,,,
"1728957252.065",,,"0","0",,,,,,,
"1728957252.074",,,"0","0",,,,,,,
"1728957252.081",,,"0","0",,,,,,,
"1728957252.089",,,"0","0",,,,,,,
"1728957252.097",,,"0",,,,,,,,
"1728957252.098",,,,"0",,,,,,,
"1728957252.106",,,"0","0",,,,,,,
"1728957252.113",,,"0","0",,,,,,,
"1728957252.121",,,"0","0",,,,,,,
"1728957252.13",,,"0","0",,,,,,,
"1728957252.137",,,"0","0",,,,,,,
"1728957252.145",,,"0","0",,,,,,,
"1728957252.153",,,"0","0",,,,,,,
"1728957252.161",,,"0",,,,,,,,
"1728957252.162",,,,"0",,,,,,,
"1728957252.17",,,"0","0",,,,,,,
"1728957252.177",,,"0","0",,,,,,,
"1728957252.187",,,"0","0",,,,,,,
"1728957252.193",,,"0","0",,,,,,,
"1728957252.201",,,"0","0",,,,,,,
"1728957252.209",,,"0","0",,,,,,,
"1728957252.217",,,"0","0",,,,,,,
"1728957252.225",,,"0","0",,,,,,,
"1728957252.233",,,"0","0",,,,,,,
"1728957252.242",,,"0","0",,,,,,,
"1728957252.249",,,"0","0",,,,,,,
"1728957252.257",,,"0","0",,,,,,,
"1728957252.265",,,"0","0",,,,,,,
"1728957252.273",,,"0","0",,,,,,,
"1728957252.281",,,"0","0",,,,,,,
"1728957252.289",,,"0","0",,,,,,,
"1728957252.297",,,"0",,,,,,,,
"1728957252.298",,,,"0",,,,,,,
"1728957252.305",,,"0","0",,,,,,,
"1728957252.313",,,"0","0",,,,,,,
"1728957252.321",,,"0","0",,,,,,,
"1728957252.329",,,"0","0",,,,,,,
"1728957252.337",,,"0","0",,,,,,,
"1728957252.345",,,"0","0",,,,,,,
"1728957252.354",,,"0","0",,,,,,,
"1728957252.361",,,"0",,,,,,,,
"1728957252.362",,,,"0",,,,,,,
"1728957252.37",,,"0","0",,,,,,,
"1728957252.377",,,"0",,,,,,,,
"1728957252.378",,,,"0",,,,,,,
"1728957252.385",,,"0","0",,,,,,,
"1728957252.394",,,"0","0",,,,,,,
"1728957252.401",,,"0","0",,,,,,,
"1728957252.409",,,"0","0",,,,,,,
"1728957252.417",,,"0","0",,,,,,,
"1728957252.426",,,"0","0",,,,,,,
"1728957252.433",,,"0",,,,,,,,
"1728957252.434",,,,"0",,,,,,,
"1728957252.441",,,"0","0",,,,,,,
"1728957252.449",,,"0","0",,,,,,,
"1728957252.457",,,"0","0",,,,,,,
"1728957252.466",,,"0","0",,,,,,,
"1728957252.473",,,"0","0",,,,,,,
"1728957252.481",,,"0","0",,,,,,,
"1728957252.496",,,"0","0",,,,,,,
"1728957252.497",,,"0",,,,,,,,
"1728957252.498",,,,"0",,,,,,,
"1728957252.505",,,"0","0",,,,,,,
"1728957252.513",,,"0","0",,,,,,,
"1728957252.522",,,"0","0",,,,,,,
"1728957252.529",,,"0",,,,,,,,
"1728957252.53",,,,"0",,,,,,,
"1728957252.538",,,"0","0",,,,,,,
"1728957252.545",,,"0","0",,,,,,,
"1728957252.553",,,"0",,,,,,,,
"1728957252.554",,,,"0",,,,,,,
"1728957252.561",,,"0","2191",,,,,,,
"1728957252.569",,,"0","2791",,,,,,,
"1728957252.577",,,"0","3407",,,,,,,
"1728957252.585",,,"0","3820",,,,,,,
"1728957252.593",,,"0","4010",,,,,,,
"1728957252.601",,,"0",,,,,,,,
"1728957252.603",,,,"4055",,,,,,,
"1728957252.609",,,"0","4025",,,,,,,
"1728957252.617",,,"0",,,,,,,,
"1728957252.618",,,,"3994",,,,,,,
"1728957252.625",,,"0",,,,,,,,
"1728957252.627",,,,"3950",,,,,,,
"1728957252.635",,,"0","3928",,,,,,,
"1728957252.641",,,"0","3896",,,,,,,
"1728957252.649",,,"0",,,,,,,,
"1728957252.65",,,,"3866",,,,,,,
"1728957252.657",,,"0","3835",,,,,,,
"1728957252.665",,,"0",,,,,,,,
"1728957252.666",,,,"3814",,,,,,,
"1728957252.673",,,"0","3800",,,,,,,
"1728957252.681",,,"0","3774",,,,,,,
"1728957252.689",,,"0","3753",,,,,,,
"1728957252.697",,,"0",,,,,,,,
"1728957252.698",,,,"3721",,,,,,,
"1728957252.706",,,"0","3688",,,,,,,
"1728957252.713",,,"0","3648",,,,,,,
"1728957252.721",,,"0","3614",,,,,,,
"1728957252.729",,,"0",,,,,,,,
"1728957252.731",,,,"3583",,,,,,,
"1728957252.737",,,"0",,,,,,,,
"1728957252.738",,,,"3547",,,,,,,
"1728957252.745",,,"0","3516",,,,,,,
"1728957252.753",,,"0","3486",,,,,,,
"1728957252.761",,,"0","3464",,,,,,,
"1728957252.769",,,"0","3435",,,,,,,
"1728957252.777",,,"0","3404",,,,,,,
"1728957252.785",,,"0","3376",,,,,,,
"1728957252.795",,,"0","3358",,,,,,,
"1728957252.804",,,"0","3336",,,,,,,
"1728957252.809",,,"0","3307",,,,,,,
"1728957252.819",,,"0",,,,,,,,
"1728957252.82",,,,"3287",,,,,,,
"1728957252.827",,,"0","3263",,,,,,,
"1728957252.837",,,"0","3243",,,,,,,
"1728957252.841",,,"0","3223",,,,,,,
"1728957252.852",,,"0","3207",,,,,,,
"1728957252.857",,,"0","3177",,,,,,,
"1728957252.865",,,"0",,,,,,,,
"1728957252.867",,,,"3160",,,,,,,
"1728957252.873",,,"0","3144",,,,,,,
