timestamp(ms),SignalStdIFR,Count, SignalACIFR, SignalACIFRNAOFILT,SignalS> SignalACIFRNAOFILT,
"1713734871.738",,,,,"2237",
"1713735079.692",,,"2350",,,
"1713735079.697",,,"2352",,,
"1713735079.702",,,"2353",,,
"1713735079.709",,,"2354",,,
"1713735079.713",,,"2356",,,
"1713735079.72",,,"2357",,,
"1713735079.725","14.92","97",,,,
"1713735079.726",,,"2359",,,
"1713735079.73","15.08","98",,,,
"1713735079.731",,,"2361",,,
"1713735079.736","15.14","99","2361",,,
"1713735079.742","14","100","2361",,,
"1713735079.748","12.94","101",,,,
"1713735079.749",,,"2363",,,
"1713735079.753","12.68","102","2363",,,
"1713735079.759","12.54","103","2364",,,
"1713735079.765","12.87",,,,,
"1713735079.766",,"104","2365",,,
"1713735079.77","12.89",,,,,
"1713735079.771",,"105","2365",,,
"1713735079.776","13",,,,,
"1713735079.777",,"106","2366",,,
"1713735079.783","13.09","107","2367",,,
"1713735079.787","13.04","108",,,,
"1713735079.788",,,"2366",,,
"1713735079.793","13.09","109","2367","2344",,
"1713735079.799","13.35",,,"2349",,
"1713735079.8",,"110","2367",,,
"1713735079.804",,,,"2345",,
"1713735079.805","13.34","111","2367",,,
"1713735079.81","13.39",,,"2344",,
"1713735079.811",,"112","2368",,,
"1713735079.816","13.71","113",,"2346",,
"1713735079.817",,,"2369",,,
"1713735079.821",,,,"2332",,
"1713735079.822","13.75","114","2368",,,
"1713735079.827",,,,"2331",,
"1713735079.828","13.88","115","2369",,,
"1713735079.833","14.25","116",,"2329",,
"1713735079.834",,,"2370",,,
"1713735079.84","14.37","117","2369","2317",,
"1713735079.844",,,,"2315",,
"1713735079.845","14.42","118","2371",,,
"1713735079.85","14.61","119",,"2315",,
"1713735079.851",,,"2371",,,
"1713735079.857","14.64","120","2371","2313",,
"1713735079.861",,,,"2312",,
"1713735079.862","14.76","121","2373",,,
"1713735079.867","14.89",,,"2303",,
"1713735079.868",,"122","2373",,,
"1713735079.873",,,,"2301",,
"1713735079.874","14.81",,,,,
"1713735079.875",,"123","2373",,,
"1713735079.879","14.65","124","2374","2303",,
"1713735079.884",,,,"2301",,
"1713735079.885","14.54","125","2374",,,
"1713735079.89","14.35","126",,"2301",,
"1713735079.891",,,"2373",,,
"1713735079.896","14.14","127","2375","2311",,
"1713735079.902","14.13","128","2375","2301",,
"1713735079.907",,,,"2313",,
"1713735079.908","13.85","129",,,,
"1713735079.909",,,"2375",,,
"1713735079.913","13.82","130","2376","2314",,
"1713735079.919","13.8","131","2376","2303",,
"1713735079.924","13.5","132",,"2314",,
"1713735079.925",,,"2376",,,
"1713735079.931","13.45","133","2377","2319",,
"1713735079.936","13.45","134","2376","2313",,
"1713735079.941",,,,"2315",,
"1713735079.942","13.32","135","2376",,,
"1713735079.948","13.26","136","2378","2328",,
"1713735079.953","13.31","137","2377","2314",,
"1713735079.959","13.17","138","2378","2317",,
"1713735079.964",,,,"2330",,
"1713735079.965","13.12","139","2378",,,
"1713735079.97","13.09","140","2377","2317",,
"1713735079.976","12.87","141","2377","2326",,
"1713735079.981","12.9",,,"2331",,
"1713735079.983",,"142","2377",,,
"1713735079.987","12.86","143","2376","2318",,
"1713735079.993","12.62","144","2376","2327",,
"1713735079.998",,,,"2334",,
"1713735079.999","12.62","145","2376",,,
"1713735080.004","12.58","146","2374","2329",,
"1713735080.01","12.5","147","2373","2328",,
"1713735080.016","12.4","148","2371","2333",,
"1713735080.022","12.42","149","2368","2329",,
"1713735080.027","12.4","150","2365","2330",,
"1713735080.033","12.38","151","2363","2333",,
"1713735080.039","12.6","152","2358","2329",,
"1713735080.044",,,,"2328",,
"1713735080.045","12.83","153","2356",,,
"1713735080.05","12.84","154","2352","2329",,
"1713735080.056","13.1",,,"2328",,
"1713735080.057",,"155","2347",,,
"1713735080.062","13.3","156","2344","2330",,
"1713735080.067","13.51","157","2341","2330",,
"1713735080.073","13.81",,,"2331",,
"1713735080.074",,"158","2337",,,
"1713735080.079","14.09","159","2336","2332",,
"1713735080.085","14.32","160","2334","2331",,
"1713735080.091","14.55","161","2332","2331",,
"1713735080.096","14.69","162","2332","2335",,
"1713735080.102","14.77","163",,"2330",,
"1713735080.103",,,"2332",,,
"1713735080.107",,,,"2332",,
"1713735080.108","14.81","164","2333",,,
"1713735080.114","14.82","165","2334","2333",,
"1713735080.119","14.86","166","2336","2329",,
"1713735080.124",,,,"2329",,
"1713735080.125","14.85","167","2337",,,
"1713735080.131","14.81","168","2340","2332",,
"1713735080.136","14.8","169",,"2328",,
"1713735080.137",,,"2341",,,
"1713735080.142","14.76","170","2344","2330",,
"1713735080.147",,,,"2343",,
"1713735080.148","14.7","171",,,,
"1713735080.149",,,"2347",,,
"1713735080.153","14.74","172",,"2329",,
"1713735080.154",,,"2349",,,
"1713735080.159","14.69","173","2351","2329",,
"1713735080.164",,,,"2334",,
"1713735080.165","14.64",,,,,
"1713735080.167",,"174","2353",,,
"1713735080.17","14.61",,,"2329",,
"1713735080.171",,"175","2355",,,
"1713735080.176","14.54","176","2356","2329",,
"1713735080.181",,,,"2342",,
"1713735080.182","14.57","177",,,,
"1713735080.183",,,"2359",,,
"1713735080.187","14.58","178",,"2328",,
"1713735080.188",,,"2360",,,
"1713735080.193","14.49","179","2362","2329",,
"1713735080.199","14.49","180","2362","2332",,
"1713735080.205","14.44",,,"2328",,
"1713735080.206",,"181","2363",,,
"1713735080.21","14.35","182",,"2329",,
"1713735080.211",,,"2364",,,
"1713735080.216","14.36",,,"2335",,
"1713735080.22",,"183",,,,
"1713735080.222",,,"2366",,,
"1713735080.236","14.34",,,"2330",,
"1713735080.237",,"184",,,,
"1713735080.238",,,"2366",,,
"1713735080.241","14.27",,,"2332",,
"1713735080.242","14.32","186","2367","2334",,
"1713735080.243","14.27","187","2368","2333",,
"1713735080.244",,,"2367",,,
"1713735080.245","14.23",,,"2335",,
"1713735080.246",,"188","2369",,,
"1713735080.25","14.3",,,"2344",,
"1713735080.251",,"189","2370",,,
"1713735080.259","14.36","190","2371","2334",,
"1713735080.262","14.38","191","2373","2344",,
"1713735080.267",,,,"2344",,
"1713735080.268","14.51","192","2375",,,
"1713735080.273","14.57",,,"2344",,
"1713735080.274",,"193","2375",,,
"1713735080.279",,,,"2346",,
"1713735080.28","14.63","194","2376",,,
"1713735080.286",,,,"2344",,
"1713735080.287","14.7","195","2376",,,
"1713735080.29",,,,"2349",,
"1713735080.291","14.7","196","2376",,,
"1713735080.297","14.76","197",,"2349",,
"1713735080.298",,,"2377",,,
"1713735080.301",,,,"2346",,
"1713735080.302","14.82","198","2378",,,
"1713735080.307","14.88",,,"2346",,
"1713735080.308",,"199","2377",,,
"1713735080.314","14.96",,,"2352",,
"1713735080.315",,"200","2378",,,
"1713735080.319","15.01","201",,"2346",,
"1713735080.32",,,"2377",,,
"1713735080.324",,,,"2348",,
"1713735080.325","15.06","202",,,,
