timestamp(ms), SignalACIFRNAOFILT,SignalStdIFR,Count, SignalACIFR,
"1713735439.841","2935","27.65",,,
"1713735439.846","2959",,,,
"1713735439.847",,"27.7",,,
"1713735439.852","2973","27.61",,,
"1713735439.858","2921","27.4",,,
"1713735439.864","2939","27.48",,,
"1713735439.869","2970",,,,
"1713735439.87",,"27.5",,,
"1713735439.875","2908","27.25",,,
"1713735439.881","2922","27.23",,,
"1713735439.887","2968","27.36",,,
"1713735439.898","2909","27.22",,,
"1713735439.899","2920","27.13",,,
"1713735439.903","2967",,,,
"1713735439.904",,"27.34","511","2956",
"1713735439.909","2937","27.25",,,
"1713735439.91",,,"512","2957",
"1713735439.915","2926","27.27","513",,
"1713735439.916",,,,"2956",
"1713735439.921","2972","27.37","514","2956",
"1713735439.926","2959",,,,
"1713735439.927",,"27.2",,,
"1713735439.928",,,"515","2954",
"1713735439.932","2927","27.16",,,
"1713735439.933",,,"516","2953",
"1713735439.938","2969","27.28","517","2952",
"1713735439.944","2975","27.02","518","2950",
"1713735439.949","2922",,,,
"1713735439.95",,"26.74","519","2951",
"1713735439.955","2943","26.86",,,
"1713735439.956",,,"520","2951",
"1713735439.961","2975",,,,
"1713735439.962",,"26.86","521","2952",
"1713735439.967","2905","26.49","522","2954",
"1713735439.972","2927","26.52",,,
"1713735439.973",,,"523","2956",
"1713735439.978","2971","26.83","524","2959",
"1713735439.989","2895",,,,
"1713735439.99","2920","26.39","526","2961",
"1713735439.991",,,,"2963",
"1713735439.995","2968","26.69","527",,
"1713735439.996",,,,"2965",
"1713735440.001","2908",,,,
"1713735440.002",,"26.56","528","2964",
"1713735440.006","2920",,,,
"1713735440.007",,"26.47","529","2963",
"1713735440.012","2968","26.6",,,
"1713735440.013",,,"530","2963",
"1713735440.018","2940","26.64",,,
"1713735440.019",,,"531",,
"1713735440.02",,,,"2959",
"1713735440.024","2920","26.71","532","2957",
"1713735440.029","2971",,,,
"1713735440.03",,"26.81","533","2955",
"1713735440.035","2960","26.61","534","2950",
"1713735440.041","2935","26.5","535","2950",
"1713735440.046","2958",,,,
"1713735440.047",,"26.65","536","2949",
